2022-05-24T18:36:36.775914606Z I0524 18:36:36.775719       1 request.go:665] Waited for 1.008642185s due to client-side throttling, not priority and fairness, request: GET:https://api-int.odf-service.dif5.p1.openshiftapps.com:6443/apis/user.openshift.io/v1?timeout=32s
2022-05-24T18:36:38.932853729Z I0524 18:36:38.932820       1 logr.go:249] CCMOperator/controller-runtime/metrics "msg"="Metrics server is starting to listen"  "addr"=":9258"
2022-05-24T18:36:38.933222472Z I0524 18:36:38.933165       1 logr.go:249] CCMOperator/setup "msg"="starting manager"  
2022-05-24T18:36:38.933493647Z I0524 18:36:38.933470       1 internal.go:362] CCMOperator "msg"="Starting server" "addr"={"IP":"::","Port":9258,"Zone":""} "kind"="metrics" "path"="/metrics" 
2022-05-24T18:36:38.933566779Z I0524 18:36:38.933546       1 internal.go:362] CCMOperator "msg"="Starting server" "addr"={"IP":"127.0.0.1","Port":9259,"Zone":""} "kind"="health probe" 
2022-05-24T18:36:38.933784652Z I0524 18:36:38.933756       1 leaderelection.go:248] attempting to acquire leader lease openshift-cloud-controller-manager-operator/cluster-cloud-controller-manager-leader...
2022-05-24T18:39:39.199490116Z I0524 18:39:39.199443       1 leaderelection.go:258] successfully acquired lease openshift-cloud-controller-manager-operator/cluster-cloud-controller-manager-leader
2022-05-24T18:39:39.199686224Z I0524 18:39:39.199657       1 controller.go:178] CCMOperator/controller/clusteroperator "msg"="Starting EventSource" "reconciler group"="config.openshift.io" "reconciler kind"="ClusterOperator" "source"="kind source: *v1.ClusterOperator"
2022-05-24T18:39:39.199717394Z I0524 18:39:39.199697       1 controller.go:178] CCMOperator/controller/clusteroperator "msg"="Starting EventSource" "reconciler group"="config.openshift.io" "reconciler kind"="ClusterOperator" "source"="kind source: *v1.Infrastructure"
2022-05-24T18:39:39.199729044Z I0524 18:39:39.199714       1 controller.go:178] CCMOperator/controller/clusteroperator "msg"="Starting EventSource" "reconciler group"="config.openshift.io" "reconciler kind"="ClusterOperator" "source"="kind source: *v1.FeatureGate"
2022-05-24T18:39:39.199787519Z I0524 18:39:39.199773       1 controller.go:178] CCMOperator/controller/clusteroperator "msg"="Starting EventSource" "reconciler group"="config.openshift.io" "reconciler kind"="ClusterOperator" "source"="channel source: 0xc00047c960"
2022-05-24T18:39:39.199821400Z I0524 18:39:39.199799       1 controller.go:186] CCMOperator/controller/clusteroperator "msg"="Starting Controller" "reconciler group"="config.openshift.io" "reconciler kind"="ClusterOperator" 
2022-05-24T18:39:39.301085709Z I0524 18:39:39.301053       1 controller.go:220] CCMOperator/controller/clusteroperator "msg"="Starting workers" "reconciler group"="config.openshift.io" "reconciler kind"="ClusterOperator" "worker count"=1
2022-05-24T18:39:39.301194343Z I0524 18:39:39.301168       1 clusteroperator_controller.go:253] FeatureGate cluster is not specifying external cloud provider requirement. Skipping...
2022-05-24T18:39:39.311833363Z I0524 18:39:39.309644       1 clusteroperator_controller.go:253] FeatureGate cluster is not specifying external cloud provider requirement. Skipping...
2022-05-24T18:43:44.612069622Z I0524 18:43:44.609884       1 clusteroperator_controller.go:253] FeatureGate cluster is not specifying external cloud provider requirement. Skipping...
2022-05-24T18:43:44.629706028Z I0524 18:43:44.629668       1 clusteroperator_controller.go:253] FeatureGate cluster is not specifying external cloud provider requirement. Skipping...
