2022-05-24T18:32:10.777433574Z I0524 18:32:10.777339       1 cmd.go:209] Using service-serving-cert provided certificates
2022-05-24T18:32:10.780559348Z I0524 18:32:10.780527       1 observer_polling.go:159] Starting file observer
2022-05-24T18:32:11.942454618Z I0524 18:32:11.941928       1 builder.go:262] console-operator version -
2022-05-24T18:32:11.956842153Z I0524 18:32:11.956801       1 dynamic_serving_content.go:112] "Loaded a new cert/key pair" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2022-05-24T18:32:12.579270820Z I0524 18:32:12.578334       1 requestheader_controller.go:244] Loaded a new request header values for RequestHeaderAuthRequestController
2022-05-24T18:32:12.584750187Z W0524 18:32:12.584715       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2022-05-24T18:32:12.584840293Z W0524 18:32:12.584824       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2022-05-24T18:32:12.584914779Z I0524 18:32:12.584877       1 genericapiserver.go:406] MuxAndDiscoveryComplete has all endpoints registered and discovery information is complete
2022-05-24T18:32:12.593612854Z I0524 18:32:12.591525       1 tlsconfig.go:200] "Loaded serving cert" certName="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key" certDetail="\"metrics.openshift-console-operator.svc\" [serving] validServingFor=[metrics.openshift-console-operator.svc,metrics.openshift-console-operator.svc.cluster.local] issuer=\"openshift-service-serving-signer@1653415662\" (2022-05-24 18:19:40 +0000 UTC to 2024-05-23 18:19:41 +0000 UTC (now=2022-05-24 18:32:12.591480378 +0000 UTC))"
2022-05-24T18:32:12.593915994Z I0524 18:32:12.593884       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1653417132\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1653417132\" (2022-05-24 17:32:11 +0000 UTC to 2023-05-24 17:32:11 +0000 UTC (now=2022-05-24 18:32:12.593849451 +0000 UTC))"
2022-05-24T18:32:12.593936041Z I0524 18:32:12.593916       1 secure_serving.go:266] Serving securely on [::]:8443
2022-05-24T18:32:12.593946761Z I0524 18:32:12.593935       1 genericapiserver.go:462] [graceful-termination] waiting for shutdown to be initiated
2022-05-24T18:32:12.595133707Z I0524 18:32:12.595110       1 leaderelection.go:248] attempting to acquire leader lease openshift-console-operator/console-operator-lock...
2022-05-24T18:32:12.595415801Z I0524 18:32:12.595384       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
