2022-05-24T18:36:06.461341167Z .:5353
2022-05-24T18:36:06.461572834Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:36:06.461572834Z CoreDNS-1.8.7
2022-05-24T18:36:06.461572834Z linux/amd64, go1.17.5, 
2022-05-24T18:37:11.593163961Z [INFO] 10.128.0.75:55137 - 22410 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000355105s
2022-05-24T18:37:11.843572778Z [INFO] 10.128.0.75:33796 - 20514 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000352921s
2022-05-24T18:37:12.539990313Z [INFO] 10.131.2.7:33736 - 24031 "A IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000244853s
2022-05-24T18:37:27.648440552Z [INFO] 10.131.2.7:35202 - 65249 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000343554s
2022-05-24T18:37:42.544919778Z [INFO] 10.131.2.7:39860 - 27983 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000292684s
2022-05-24T18:38:11.347180987Z [INFO] 10.128.0.75:35511 - 63256 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000285212s
2022-05-24T18:38:12.532939832Z [INFO] 10.131.2.7:47776 - 32510 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.00020832s
2022-05-24T18:38:12.544938234Z [INFO] 10.131.2.7:40982 - 1600 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000234517s
2022-05-24T18:38:25.241405934Z [INFO] 10.128.0.75:43815 - 47051 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000362544s
2022-05-24T18:38:27.532475035Z [INFO] 10.131.2.7:40450 - 22304 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000256051s
2022-05-24T18:38:27.532971273Z [INFO] 10.131.2.7:45669 - 46438 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000202898s
2022-05-24T18:38:27.540955581Z [INFO] 10.131.2.7:37585 - 53614 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000182199s
2022-05-24T18:38:42.538116946Z [INFO] 10.131.2.7:47484 - 18173 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000320488s
2022-05-24T18:38:42.549668029Z [INFO] 10.131.2.7:43887 - 55669 "AAAA IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000267037s
2022-05-24T18:38:42.550719957Z [INFO] 10.131.2.7:48056 - 6190 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000223285s
2022-05-24T18:38:57.534242317Z [INFO] 10.131.2.7:50916 - 57391 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000364329s
2022-05-24T18:38:57.551525580Z [INFO] 10.131.2.7:59360 - 18291 "A IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000293787s
2022-05-24T18:39:27.532228673Z [INFO] 10.131.2.7:39939 - 5081 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000348048s
2022-05-24T18:40:02.564536234Z [INFO] 10.131.2.7:57731 - 53321 "AAAA IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000279855s
2022-05-24T18:40:12.539360942Z [INFO] 10.131.2.7:39144 - 1600 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000276425s
2022-05-24T18:40:48.320961037Z [INFO] 10.129.0.8:59849 - 43133 "A IN inputs10.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.00038017s
