2022-05-24T18:27:36.952892434Z .:5353
2022-05-24T18:27:36.953043610Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:27:36.953057071Z CoreDNS-1.8.7
2022-05-24T18:27:36.953057071Z linux/amd64, go1.17.5, 
2022-05-24T18:28:27.260475969Z [INFO] 10.129.0.69:43921 - 41133 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000388211s
2022-05-24T18:28:28.149459864Z [INFO] 10.129.0.69:52940 - 28171 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000307856s
2022-05-24T18:28:28.470225830Z [INFO] 10.129.0.69:44320 - 32425 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000263191s
2022-05-24T18:28:29.064414100Z [INFO] 10.129.0.69:50340 - 64941 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000362406s
2022-05-24T18:28:29.661475369Z [INFO] 10.129.0.69:52624 - 55693 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000316371s
2022-05-24T18:28:30.264989148Z [INFO] 10.129.0.69:37160 - 50578 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000329605s
2022-05-24T18:28:30.265058517Z [INFO] 10.129.0.69:59781 - 41271 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000421284s
2022-05-24T18:28:32.064570258Z [INFO] 10.129.0.69:58300 - 31842 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000215696s
2022-05-24T18:28:32.663014908Z [INFO] 10.129.0.69:60733 - 28336 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00031878s
2022-05-24T18:28:32.663050419Z [INFO] 10.129.0.69:60150 - 15047 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000366867s
2022-05-24T18:28:34.626030740Z [INFO] 10.129.0.69:50771 - 13745 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000271539s
2022-05-24T18:28:36.261543091Z [INFO] 10.129.0.69:48032 - 41348 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000316241s
2022-05-24T18:28:36.866573326Z [INFO] 10.129.0.69:42702 - 54633 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000301393s
2022-05-24T18:28:38.084552581Z [INFO] 10.129.0.69:58209 - 13000 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00033693s
2022-05-24T18:28:39.265308498Z [INFO] 10.129.0.69:60551 - 6995 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000252831s
2022-05-24T18:28:47.238168423Z [INFO] 10.128.4.4:38184 - 49540 "A IN inputs1.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000417985s
2022-05-24T18:28:49.948799632Z [INFO] 10.129.0.69:35782 - 12689 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000310815s
2022-05-24T18:29:30.850085417Z [INFO] 10.129.0.69:50631 - 27976 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000419588s
2022-05-24T18:29:31.362186302Z [INFO] 10.129.0.69:46175 - 58967 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000693686s
2022-05-24T18:29:43.184763052Z [INFO] 10.129.0.69:48340 - 24191 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000369615s
2022-05-24T18:29:43.324596088Z [INFO] 10.129.0.69:51734 - 14314 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000298698s
