2022-05-24T18:44:21.636900566Z .:5353
2022-05-24T18:44:21.637001734Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:44:21.637010502Z CoreDNS-1.8.7
2022-05-24T18:44:21.637010502Z linux/amd64, go1.17.5, 
2022-05-24T18:47:02.319323405Z [INFO] 10.128.0.75:47902 - 33701 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000312874s
2022-05-24T18:47:49.575194416Z [INFO] 10.129.0.4:53903 - 64964 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000363404s
2022-05-24T18:51:41.606189541Z [INFO] 10.131.2.2:57796 - 61780 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000296665s
2022-05-24T18:55:22.907511374Z [INFO] 10.128.0.75:34909 - 30524 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000363001s
2022-05-24T18:55:42.036346693Z [INFO] 10.128.4.12:33588 - 40535 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000293941s
2022-05-24T18:56:40.939831281Z [INFO] 10.128.0.75:36324 - 44476 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000264544s
2022-05-24T18:58:49.719811914Z [INFO] 10.128.4.12:53557 - 8564 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000377842s
2022-05-24T18:59:04.353048293Z [INFO] 10.128.0.24:53616 - 40370 "A IN inputs10.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.001425992s
2022-05-24T19:00:09.030710966Z [INFO] 10.128.0.75:45795 - 16612 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000347569s
2022-05-24T19:05:41.535177166Z [INFO] 10.131.2.8:48917 - 10200 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000354356s
2022-05-24T19:05:42.514545547Z [INFO] 10.131.2.2:43689 - 22575 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000332914s
2022-05-24T19:07:31.216063189Z [INFO] 10.128.0.75:51059 - 64200 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000565373s
2022-05-24T19:07:47.752515037Z [INFO] 10.128.0.28:38008 - 64661 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000349912s
2022-05-24T19:10:47.627664316Z [INFO] 10.131.0.6:38045 - 50108 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000311031s
2022-05-24T19:11:03.842763042Z [INFO] 10.128.0.75:60378 - 59531 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000295906s
2022-05-24T19:11:03.988546518Z [INFO] 10.128.0.75:53775 - 30190 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000299496s
2022-05-24T19:11:35.952232085Z [INFO] 10.131.0.58:40391 - 51842 "A IN registry.redhat.io.ec2.internal. udp 60 false 512" NXDOMAIN qr,rd,ra 49 0.000316849s
2022-05-24T19:12:47.759660917Z [INFO] 10.131.0.6:39279 - 10083 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000328299s
2022-05-24T19:13:59.564481668Z [INFO] 10.131.2.8:58049 - 48026 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000633993s
2022-05-24T19:16:48.347494739Z [INFO] 10.128.0.28:54274 - 25672 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00028426s
2022-05-24T19:17:21.538876061Z [INFO] 10.130.2.11:37563 - 9634 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.00028582s
2022-05-24T19:17:52.162327921Z [INFO] 10.128.4.12:58587 - 8875 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00031178s
2022-05-24T19:17:54.212499477Z [INFO] 10.130.2.2:34098 - 15243 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000312568s
2022-05-24T19:18:28.130339314Z [INFO] 10.130.2.11:34156 - 327 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000629272s
2022-05-24T19:18:28.139614685Z [INFO] 10.130.2.11:47602 - 59645 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000210583s
2022-05-24T19:21:43.560368224Z [INFO] 10.131.2.2:53801 - 64114 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000391971s
2022-05-24T19:22:43.575785130Z [INFO] 10.131.2.2:35940 - 8800 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000655004s
2022-05-24T19:22:49.224061001Z [INFO] 10.128.4.12:55555 - 31515 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000361001s
2022-05-24T19:22:49.329384312Z [INFO] 10.128.4.12:46864 - 20492 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000304686s
2022-05-24T19:22:57.003846651Z [INFO] 10.128.4.12:33165 - 24628 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.002397795s
2022-05-24T19:22:57.011773976Z [INFO] 10.128.4.12:43976 - 62471 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000324038s
2022-05-24T19:23:43.642493677Z [INFO] 10.131.2.2:33011 - 19541 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000373331s
2022-05-24T19:24:48.281270603Z [INFO] 10.131.0.6:39750 - 32834 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000346695s
2022-05-24T19:24:54.685227323Z [INFO] 10.130.2.2:44928 - 13050 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000275189s
2022-05-24T19:27:53.743253035Z [INFO] 10.128.0.75:45843 - 16128 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000286851s
2022-05-24T19:27:55.778150373Z [INFO] 10.128.4.12:33423 - 45261 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000335187s
2022-05-24T19:28:18.232220203Z [INFO] 10.128.4.5:60596 - 10494 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000276503s
2022-05-24T19:28:27.435170635Z [INFO] 10.129.2.6:41664 - 51224 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000389509s
2022-05-24T19:30:55.459391110Z [INFO] 10.128.4.12:33915 - 45498 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000279376s
2022-05-24T19:30:55.496775957Z [INFO] 10.128.4.12:59693 - 1258 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000248696s
