2022-05-24T18:40:08.722914421Z .:5353
2022-05-24T18:40:08.723012513Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:08.723022065Z CoreDNS-1.8.7
2022-05-24T18:40:08.723022065Z linux/amd64, go1.17.5, 
2022-05-24T18:41:40.998548811Z [INFO] 10.131.2.2:49801 - 24770 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000321899s
2022-05-24T18:41:49.155893775Z [INFO] 10.129.0.4:51914 - 61854 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000342303s
2022-05-24T18:42:53.777263269Z [INFO] 10.128.0.75:50548 - 34649 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000790624s
2022-05-24T18:42:54.119636693Z [INFO] 10.128.0.75:47207 - 21073 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000312691s
2022-05-24T18:42:54.344213067Z [INFO] 10.128.0.75:36285 - 62957 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000279279s
2022-05-24T18:42:56.102363278Z [INFO] 10.128.0.75:58122 - 40488 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00033015s
2022-05-24T18:42:57.903969582Z [INFO] 10.128.0.75:52828 - 59523 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000845341s
2022-05-24T18:43:04.155633459Z [INFO] 10.128.0.75:57403 - 2582 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000391262s
2022-05-24T18:43:52.021666999Z [INFO] 10.130.2.2:57968 - 55702 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000266511s
2022-05-24T18:43:55.680005482Z [INFO] 10.128.0.75:57484 - 54551 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000363125s
2022-05-24T18:43:56.119772296Z [INFO] 10.128.0.75:38961 - 8245 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000300029s
2022-05-24T18:44:25.970625948Z [INFO] 10.128.0.75:45450 - 61683 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00038186s
2022-05-24T18:47:01.958806803Z [INFO] 10.128.0.75:48796 - 53292 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000360605s
2022-05-24T18:47:01.958847714Z [INFO] 10.128.0.75:51097 - 40013 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000352003s
2022-05-24T18:47:08.701556788Z [INFO] 10.128.0.75:33895 - 21813 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000341691s
2022-05-24T18:47:10.914349445Z [INFO] 10.128.2.5:38064 - 47885 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000379931s
2022-05-24T18:50:28.971262494Z [INFO] 10.128.4.12:35790 - 25997 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000617159s
2022-05-24T18:51:00.772665775Z [INFO] 10.128.4.12:41748 - 46305 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000396276s
2022-05-24T18:51:04.947916451Z [INFO] 10.128.4.12:57243 - 19821 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00033272s
2022-05-24T18:52:00.600174858Z [INFO] 10.128.4.12:38138 - 43800 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000318375s
