2022-05-24T18:40:50.472486307Z .:5353
2022-05-24T18:40:50.472619666Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:50.472654510Z CoreDNS-1.8.7
2022-05-24T18:40:50.472654510Z linux/amd64, go1.17.5, 
2022-05-24T18:42:07.217462739Z [INFO] 10.128.0.75:47134 - 2042 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000699133s
2022-05-24T18:42:08.453070056Z [INFO] 10.128.0.75:53326 - 11008 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000278049s
2022-05-24T18:44:24.888813650Z [INFO] 10.128.0.75:42704 - 45503 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000321296s
2022-05-24T18:44:26.232265957Z [INFO] 10.128.0.75:53754 - 8199 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000374275s
2022-05-24T18:44:26.835147363Z [INFO] 10.128.0.75:37094 - 65222 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000369511s
2022-05-24T18:44:46.217057437Z [INFO] 10.131.0.6:51273 - 45242 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000327906s
2022-05-24T18:46:49.508515327Z [INFO] 10.129.0.4:51467 - 7402 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000383102s
2022-05-24T18:47:52.273018891Z [INFO] 10.130.2.2:43073 - 11522 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000690951s
2022-05-24T18:47:54.783514720Z [INFO] 10.128.4.12:35820 - 15003 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000301119s
2022-05-24T18:51:28.813505225Z [INFO] 10.128.0.75:60256 - 10687 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000595997s
2022-05-24T18:52:45.551231613Z [INFO] 10.128.4.12:39464 - 44112 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000329152s
2022-05-24T18:53:11.175461608Z [INFO] 10.128.2.5:49765 - 4916 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000374927s
2022-05-24T18:57:41.997823527Z [INFO] 10.131.2.2:44081 - 55135 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000287856s
2022-05-24T18:58:46.998508073Z [INFO] 10.131.0.6:41426 - 4803 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00037104s
2022-05-24T18:58:47.149006422Z [INFO] 10.128.0.28:40736 - 41739 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000281755s
2022-05-24T18:59:17.005471646Z [INFO] 10.128.0.75:40943 - 8584 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000287164s
2022-05-24T19:01:11.568200858Z [INFO] 10.128.2.5:35261 - 22001 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000776565s
2022-05-24T19:01:15.277188181Z [INFO] 10.130.0.10:41365 - 29633 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000292927s
2022-05-24T19:06:13.183400499Z [INFO] 10.128.0.75:42308 - 35810 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000366663s
2022-05-24T19:07:16.933264370Z [INFO] 10.130.2.11:53688 - 60199 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000302815s
2022-05-24T19:07:31.216305583Z [INFO] 10.128.0.75:52139 - 51209 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000478333s
2022-05-24T19:10:26.677694124Z [INFO] 10.129.2.6:44273 - 19586 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000657067s
2022-05-24T19:12:16.006995413Z [INFO] 10.130.0.10:59372 - 51160 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000268003s
2022-05-24T19:12:43.343221534Z [INFO] 10.128.0.75:44966 - 44603 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000897177s
2022-05-24T19:15:48.282377235Z [INFO] 10.128.0.28:35639 - 22512 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000305723s
2022-05-24T19:15:49.593007586Z [INFO] 10.128.4.12:36491 - 58220 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000255142s
2022-05-24T19:16:47.975781387Z [INFO] 10.131.0.6:43925 - 39575 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000333873s
2022-05-24T19:16:54.147663267Z [INFO] 10.130.2.2:47497 - 6334 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000336255s
2022-05-24T19:17:21.570707561Z [INFO] 10.131.2.8:37573 - 29223 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000375667s
2022-05-24T19:18:12.323183453Z [INFO] 10.128.2.5:58557 - 42563 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000334376s
2022-05-24T19:20:27.171182851Z [INFO] 10.129.2.6:59502 - 26607 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000657799s
2022-05-24T19:21:51.689951520Z [INFO] 10.129.0.4:52252 - 51942 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.0003622s
2022-05-24T19:22:41.617113240Z [INFO] 10.128.0.75:33159 - 18184 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000339861s
2022-05-24T19:22:49.281891643Z [INFO] 10.128.4.12:36158 - 40039 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000295201s
2022-05-24T19:22:49.566654073Z [INFO] 10.128.4.12:60856 - 25043 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000494313s
