2022-05-24T18:31:38.348306441Z [WARNING] plugin/kubernetes: starting server with unsynced Kubernetes API
2022-05-24T18:31:38.348726532Z .:5353
2022-05-24T18:31:38.348919493Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:31:38.348919493Z CoreDNS-1.8.7
2022-05-24T18:31:38.348919493Z linux/amd64, go1.17.5, 
2022-05-24T18:32:26.191211577Z [INFO] 10.129.0.69:38593 - 38129 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000376769s
2022-05-24T18:32:45.047669823Z [INFO] 10.130.0.58:41705 - 9001 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000363956s
2022-05-24T18:32:47.391911071Z [INFO] 10.129.0.69:35100 - 38988 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000361507s
2022-05-24T18:32:52.062113818Z [INFO] 10.128.2.34:59095 - 35429 "AAAA IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00056092s
2022-05-24T18:34:05.421677608Z [INFO] 10.129.0.69:46385 - 62612 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000575435s
2022-05-24T18:34:32.818939012Z [INFO] 10.131.2.2:41555 - 31836 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000292943s
2022-05-24T18:35:04.894956062Z [INFO] 10.129.0.69:34903 - 65424 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000376742s
2022-05-24T18:35:05.092317655Z [INFO] 10.129.0.69:49205 - 46448 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000380515s
2022-05-24T18:35:05.824661229Z [INFO] 10.129.0.69:56749 - 65023 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000353079s
2022-05-24T18:36:16.319125434Z [INFO] 10.130.2.4:41700 - 3123 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000357022s
2022-05-24T18:36:20.809687354Z [INFO] 10.129.0.69:36593 - 40686 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000423344s
2022-05-24T18:36:22.163368429Z [INFO] 10.129.0.69:43649 - 1939 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000331096s
2022-05-24T18:36:27.539889865Z [INFO] 10.131.2.7:46114 - 3576 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000372831s
2022-05-24T18:36:27.587645285Z [INFO] 10.131.2.7:59283 - 59674 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000326959s
2022-05-24T18:36:28.091920580Z [INFO] 10.129.0.69:47154 - 14257 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000337501s
2022-05-24T18:36:40.763718480Z [INFO] 10.131.0.6:44425 - 41021 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000679765s
2022-05-24T18:36:42.566194495Z [INFO] 10.131.2.7:48221 - 52051 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000396559s
2022-05-24T18:36:46.247319357Z [INFO] 10.128.0.70:35689 - 55921 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.001041394s
2022-05-24T18:37:12.532998351Z [INFO] 10.131.2.7:45264 - 54976 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000411765s
2022-05-24T18:37:12.541352693Z [INFO] 10.131.2.7:41576 - 43191 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000207456s
2022-05-24T18:37:16.386290882Z [INFO] 10.130.2.4:54473 - 36345 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000491971s
2022-05-24T18:37:27.555646372Z [INFO] 10.131.2.7:49938 - 4912 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000428567s
2022-05-24T18:37:40.829795521Z [INFO] 10.131.0.6:34946 - 24125 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000310529s
2022-05-24T18:37:42.531869405Z [INFO] 10.131.2.7:40502 - 1498 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000331249s
2022-05-24T18:37:42.544513842Z [INFO] 10.131.2.7:44133 - 58457 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000265381s
2022-05-24T18:37:43.820163958Z [INFO] 10.129.0.50:59995 - 8232 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000362097s
2022-05-24T18:37:57.311661766Z [INFO] 10.128.0.75:47444 - 41026 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000853134s
2022-05-24T18:37:57.655025437Z [INFO] 10.128.0.75:41187 - 23289 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000352559s
2022-05-24T18:37:59.435223159Z [INFO] 10.128.0.75:46177 - 32537 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000433209s
2022-05-24T18:37:59.435223159Z [INFO] 10.128.0.75:44308 - 34239 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000406836s
2022-05-24T18:38:42.537819692Z [INFO] 10.131.2.7:51311 - 58416 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000344704s
2022-05-24T18:38:54.415834378Z [INFO] 10.128.0.75:59487 - 29607 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000356997s
2022-05-24T18:38:57.552513914Z [INFO] 10.131.2.7:33528 - 19210 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000355403s
2022-05-24T18:38:57.552552502Z [INFO] 10.131.2.7:46564 - 48224 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000397123s
2022-05-24T18:39:08.723022858Z [INFO] 10.128.0.75:40235 - 31733 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000822751s
2022-05-24T18:39:12.540015167Z [INFO] 10.131.2.7:59042 - 14327 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000289324s
2022-05-24T18:39:23.629959553Z [INFO] 10.128.0.75:51816 - 36384 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000298401s
2022-05-24T18:39:28.757643434Z [INFO] 10.128.0.75:55892 - 59050 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000309918s
2022-05-24T18:39:42.531229255Z [INFO] 10.131.2.7:53810 - 17308 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000258832s
2022-05-24T18:39:56.849917311Z [INFO] 10.128.0.56:36221 - 48670 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000314567s
2022-05-24T18:40:02.549820082Z [INFO] 10.131.2.7:43566 - 62560 "A IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000334076s
2022-05-24T18:40:02.565764072Z [INFO] 10.131.2.7:44676 - 33004 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000456886s
2022-05-24T18:40:12.531934786Z [INFO] 10.131.2.7:41367 - 36358 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000304158s
2022-05-24T18:40:42.183801085Z [INFO] 10.129.2.32:36479 - 53757 "A IN inputs12.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.000303304s
2022-05-24T18:40:42.199245189Z [INFO] 10.129.2.32:56886 - 8686 "A IN inputs14.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.004699259s
2022-05-24T18:40:48.369081257Z [INFO] 10.129.0.8:60602 - 43503 "A IN inputs3.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000388312s
2022-05-24T18:42:14.002598696Z [INFO] 10.130.0.10:50591 - 20037 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000412564s
2022-05-24T18:42:48.598478770Z [INFO] 10.128.0.75:53996 - 36077 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000351473s
2022-05-24T18:42:54.638414065Z [INFO] 10.128.0.75:53372 - 29154 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000546963s
2022-05-24T18:42:55.756041580Z [INFO] 10.128.0.75:59804 - 19359 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000359938s
2022-05-24T18:43:45.945440728Z [INFO] 10.128.0.1:29991 - 26519 "AAAA IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000375463s
2022-05-24T18:44:24.792447623Z [INFO] 10.128.0.75:60668 - 36759 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000450174s
2022-05-24T18:44:27.436374946Z [INFO] 10.128.0.75:39973 - 932 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00039282s
2022-05-24T18:44:28.033784577Z [INFO] 10.128.0.75:54236 - 57014 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000443957s
2022-05-24T18:45:44.636362315Z [INFO] 10.128.4.12:43949 - 971 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000360612s
2022-05-24T18:46:52.206326614Z [INFO] 10.130.2.2:55110 - 51456 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000298985s
2022-05-24T18:47:08.701443534Z [INFO] 10.128.0.75:47985 - 36950 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000308038s
2022-05-24T18:50:46.586300749Z [INFO] 10.131.0.6:46338 - 22895 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000415794s
2022-05-24T18:51:54.822086106Z [INFO] 10.128.0.75:46474 - 49988 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000394535s
2022-05-24T18:51:58.114921523Z [INFO] 10.128.0.75:57348 - 42638 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000297159s
2022-05-24T18:52:41.673646553Z [INFO] 10.131.2.2:49188 - 48298 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000402298s
2022-05-24T18:52:49.907292119Z [INFO] 10.129.0.4:38922 - 42395 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000394362s
2022-05-24T18:54:16.316506332Z [INFO] 10.128.4.5:43540 - 48104 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000400961s
2022-05-24T18:57:32.964046804Z [INFO] 10.128.0.75:34252 - 39655 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000706653s
2022-05-24T18:58:44.683710429Z [INFO] 10.128.4.12:51877 - 14731 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000363494s
2022-05-24T18:59:04.412541760Z [INFO] 10.128.0.24:42666 - 22172 "A IN inputs7.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000274982s
2022-05-24T18:59:04.420338433Z [INFO] 10.128.0.24:37629 - 62125 "A IN inputs9.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000312955s
2022-05-24T19:01:39.467075963Z [INFO] 10.131.2.8:56076 - 63938 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000388712s
2022-05-24T19:05:17.752070663Z [INFO] 10.131.2.8:35914 - 16740 "A IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000513794s
2022-05-24T19:08:42.381685576Z [INFO] 10.129.0.8:41016 - 5928 "A IN inputs15.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.000340328s
2022-05-24T19:08:42.385615117Z [INFO] 10.129.0.8:52716 - 63946 "A IN inputs2.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000253424s
2022-05-24T19:10:47.947415340Z [INFO] 10.128.0.28:55110 - 18366 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000331208s
2022-05-24T19:10:53.780509198Z [INFO] 10.130.2.2:45056 - 45081 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000386048s
2022-05-24T19:11:15.946723827Z [INFO] 10.130.0.10:36772 - 54460 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000304668s
2022-05-24T19:11:51.320364718Z [INFO] 10.128.0.75:40996 - 64636 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000352793s
2022-05-24T19:15:45.417799071Z [INFO] 10.128.0.75:37290 - 34657 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000375487s
2022-05-24T19:16:17.661725268Z [INFO] 10.128.4.5:44841 - 11185 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00031662s
2022-05-24T19:19:51.572983070Z [INFO] 10.129.0.4:40919 - 65 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000684886s
2022-05-24T19:19:54.342630833Z [INFO] 10.130.2.2:49590 - 50295 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000433515s
2022-05-24T19:20:16.529996387Z [INFO] 10.130.0.10:53469 - 23377 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000362233s
2022-05-24T19:21:49.840052130Z [INFO] 10.128.2.7:49649 - 19971 "A IN inputs15.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 82 false 512" NXDOMAIN qr,rd,ra 71 0.000340247s
2022-05-24T19:22:15.598814480Z [INFO] 10.128.0.75:49721 - 29026 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000356124s
2022-05-24T19:22:48.763522148Z [INFO] 10.128.0.28:60760 - 9162 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000438602s
2022-05-24T19:22:49.305876581Z [INFO] 10.128.4.12:55495 - 5453 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000251293s
2022-05-24T19:22:49.345321698Z [INFO] 10.128.4.12:51183 - 41619 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000247897s
