2022-05-24T18:32:09.883137472Z I0524 18:32:09.882989       1 profiler.go:21] Starting profiling endpoint at http://127.0.0.1:6060/debug/pprof/
2022-05-24T18:32:09.883890364Z I0524 18:32:09.883853       1 observer_polling.go:52] Starting from specified content for file "/var/run/secrets/serving-cert/tls.crt"
2022-05-24T18:32:09.883919860Z I0524 18:32:09.883895       1 observer_polling.go:52] Starting from specified content for file "/var/run/secrets/serving-cert/tls.key"
2022-05-24T18:32:09.883967107Z I0524 18:32:09.883938       1 observer_polling.go:159] Starting file observer
2022-05-24T18:32:09.884113968Z I0524 18:32:09.884084       1 observer_polling.go:135] File observer successfully synced
2022-05-24T18:32:09.885038001Z I0524 18:32:09.885005       1 cmd.go:209] Using service-serving-cert provided certificates
2022-05-24T18:32:09.885089986Z I0524 18:32:09.885071       1 observer_polling.go:74] Adding reactor for file "/var/run/secrets/serving-cert/tls.crt"
2022-05-24T18:32:09.885141962Z I0524 18:32:09.885125       1 observer_polling.go:74] Adding reactor for file "/var/run/secrets/serving-cert/tls.key"
2022-05-24T18:32:09.885208186Z I0524 18:32:09.885166       1 observer_polling.go:52] Starting from specified content for file "/var/run/configmaps/config/config.yaml"
2022-05-24T18:32:09.885560640Z I0524 18:32:09.885535       1 observer_polling.go:159] Starting file observer
2022-05-24T18:32:09.885711625Z I0524 18:32:09.885698       1 observer_polling.go:135] File observer successfully synced
2022-05-24T18:32:10.949593558Z I0524 18:32:10.949558       1 builder.go:262] openshift-cluster-etcd-operator version 4.10.0-202204290637.p0.g9790f8d.assembly.stream-9790f8d-9790f8d6d7ff2a4c758183c9750ece9700ab6d93
2022-05-24T18:32:10.950224980Z I0524 18:32:10.950197       1 dynamic_serving_content.go:112] "Loaded a new cert/key pair" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2022-05-24T18:32:12.360169491Z I0524 18:32:12.360133       1 requestheader_controller.go:244] Loaded a new request header values for RequestHeaderAuthRequestController
2022-05-24T18:32:12.372340034Z I0524 18:32:12.372309       1 config.go:700] Not requested to run hook priority-and-fairness-config-consumer
2022-05-24T18:32:12.395811803Z W0524 18:32:12.386823       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2022-05-24T18:32:12.395811803Z W0524 18:32:12.386839       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2022-05-24T18:32:12.395811803Z I0524 18:32:12.387016       1 genericapiserver.go:406] MuxAndDiscoveryComplete has all endpoints registered and discovery information is complete
2022-05-24T18:32:12.403414131Z I0524 18:32:12.403377       1 leaderelection.go:248] attempting to acquire leader lease openshift-etcd-operator/openshift-cluster-etcd-operator-lock...
2022-05-24T18:32:12.433366284Z I0524 18:32:12.432930       1 tlsconfig.go:200] "Loaded serving cert" certName="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key" certDetail="\"metrics.openshift-etcd-operator.svc\" [serving] validServingFor=[metrics.openshift-etcd-operator.svc,metrics.openshift-etcd-operator.svc.cluster.local] issuer=\"openshift-service-serving-signer@1653415662\" (2022-05-24 18:07:55 +0000 UTC to 2024-05-23 18:07:56 +0000 UTC (now=2022-05-24 18:32:12.432891365 +0000 UTC))"
