2022-05-24T18:40:05.552341997Z serving on 8888
2022-05-24T18:40:05.552341997Z serving on 8080
2022-05-24T18:40:46.578893001Z Serving canary healthcheck request
2022-05-24T18:41:46.605245432Z Serving canary healthcheck request
2022-05-24T18:42:46.629893782Z Serving canary healthcheck request
2022-05-24T18:43:46.656306396Z Serving canary healthcheck request
2022-05-24T18:44:46.682158183Z Serving canary healthcheck request
2022-05-24T18:45:46.708830359Z Serving canary healthcheck request
2022-05-24T18:55:47.000665549Z Serving canary healthcheck request
2022-05-24T19:01:47.161070439Z Serving canary healthcheck request
2022-05-24T19:04:47.245534168Z Serving canary healthcheck request
2022-05-24T19:11:47.457264043Z Serving canary healthcheck request
2022-05-24T19:17:47.612933482Z Serving canary healthcheck request
2022-05-24T19:24:47.802658347Z Serving canary healthcheck request
2022-05-24T19:28:47.904440478Z Serving canary healthcheck request
2022-05-24T19:35:48.096797828Z Serving canary healthcheck request
2022-05-24T19:40:48.231917659Z Serving canary healthcheck request
2022-05-24T19:48:48.461867981Z Serving canary healthcheck request
2022-05-24T19:52:48.579561708Z Serving canary healthcheck request
2022-05-24T19:58:48.747391446Z Serving canary healthcheck request
2022-05-24T20:08:49.082648293Z Serving canary healthcheck request
2022-05-24T20:11:49.190833753Z Serving canary healthcheck request
2022-05-24T20:17:49.418369000Z Serving canary healthcheck request
2022-05-24T20:26:49.708347298Z Serving canary healthcheck request
2022-05-24T20:27:49.737523689Z Serving canary healthcheck request
2022-05-24T20:38:50.064515122Z Serving canary healthcheck request
2022-05-24T20:39:50.094344480Z Serving canary healthcheck request
2022-05-24T20:48:50.347476837Z Serving canary healthcheck request
2022-05-24T20:54:50.505802222Z Serving canary healthcheck request
2022-05-24T21:01:50.708777507Z Serving canary healthcheck request
2022-05-24T21:04:50.796728293Z Serving canary healthcheck request
2022-05-24T21:11:50.991912815Z Serving canary healthcheck request
2022-05-24T21:19:51.212734762Z Serving canary healthcheck request
2022-05-24T21:26:51.403421194Z Serving canary healthcheck request
2022-05-24T21:27:51.430816805Z Serving canary healthcheck request
2022-05-24T21:36:51.676952101Z Serving canary healthcheck request
2022-05-24T21:42:51.841689174Z Serving canary healthcheck request
2022-05-24T21:49:52.046953750Z Serving canary healthcheck request
2022-05-24T21:52:52.140316212Z Serving canary healthcheck request
2022-05-24T22:01:52.394424910Z Serving canary healthcheck request
2022-05-24T22:03:52.453999479Z Serving canary healthcheck request
2022-05-24T22:12:52.698240537Z Serving canary healthcheck request
2022-05-24T22:16:52.816221354Z Serving canary healthcheck request
2022-05-24T22:22:52.987196434Z Serving canary healthcheck request
2022-05-24T22:27:53.125673804Z Serving canary healthcheck request
2022-05-24T22:38:53.424022834Z Serving canary healthcheck request
2022-05-24T22:39:53.453084032Z Serving canary healthcheck request
2022-05-24T22:47:53.678736097Z Serving canary healthcheck request
2022-05-24T22:52:53.820983981Z Serving canary healthcheck request
2022-05-24T23:02:54.092229439Z Serving canary healthcheck request
2022-05-24T23:03:54.120464899Z Serving canary healthcheck request
2022-05-24T23:12:54.377441188Z Serving canary healthcheck request
2022-05-24T23:15:54.454736557Z Serving canary healthcheck request
2022-05-24T23:25:54.732809316Z Serving canary healthcheck request
2022-05-24T23:27:54.786678778Z Serving canary healthcheck request
2022-05-24T23:36:55.036002954Z Serving canary healthcheck request
