2022-05-24T18:44:20.212547651Z serving on 8888
2022-05-24T18:44:20.213270957Z serving on 8080
2022-05-24T18:47:46.775163549Z Serving canary healthcheck request
2022-05-24T18:51:46.886075542Z Serving canary healthcheck request
2022-05-24T18:57:47.056448593Z Serving canary healthcheck request
2022-05-24T19:06:47.300941140Z Serving canary healthcheck request
2022-05-24T19:08:47.355332542Z Serving canary healthcheck request
2022-05-24T19:14:47.533227657Z Serving canary healthcheck request
2022-05-24T19:20:47.699918437Z Serving canary healthcheck request
2022-05-24T19:29:47.932666317Z Serving canary healthcheck request
2022-05-24T19:34:48.069284697Z Serving canary healthcheck request
2022-05-24T19:42:48.288524378Z Serving canary healthcheck request
2022-05-24T19:43:48.315630554Z Serving canary healthcheck request
2022-05-24T19:53:48.607687479Z Serving canary healthcheck request
2022-05-24T20:00:48.802132679Z Serving canary healthcheck request
2022-05-24T20:01:48.828617475Z Serving canary healthcheck request
2022-05-24T20:10:49.162908829Z Serving canary healthcheck request
2022-05-24T20:16:49.381595884Z Serving canary healthcheck request
2022-05-24T20:20:49.508936823Z Serving canary healthcheck request
2022-05-24T20:30:49.819736274Z Serving canary healthcheck request
2022-05-24T20:31:49.849973045Z Serving canary healthcheck request
2022-05-24T20:42:50.177341197Z Serving canary healthcheck request
2022-05-24T20:44:50.242515642Z Serving canary healthcheck request
2022-05-24T20:50:50.398598985Z Serving canary healthcheck request
2022-05-24T20:58:50.616138920Z Serving canary healthcheck request
2022-05-24T21:06:50.853413511Z Serving canary healthcheck request
2022-05-24T21:08:50.910441974Z Serving canary healthcheck request
2022-05-24T21:14:51.075654890Z Serving canary healthcheck request
2022-05-24T21:22:51.295841580Z Serving canary healthcheck request
2022-05-24T21:30:51.513060417Z Serving canary healthcheck request
2022-05-24T21:34:51.623679512Z Serving canary healthcheck request
2022-05-24T21:38:51.729163644Z Serving canary healthcheck request
2022-05-24T21:45:51.927233022Z Serving canary healthcheck request
2022-05-24T21:54:52.198245495Z Serving canary healthcheck request
2022-05-24T21:55:52.228712108Z Serving canary healthcheck request
2022-05-24T22:05:52.507219298Z Serving canary healthcheck request
2022-05-24T22:08:52.589847081Z Serving canary healthcheck request
2022-05-24T22:17:52.843426744Z Serving canary healthcheck request
2022-05-24T22:23:53.015514701Z Serving canary healthcheck request
2022-05-24T22:30:53.209608637Z Serving canary healthcheck request
2022-05-24T22:31:53.236736454Z Serving canary healthcheck request
2022-05-24T22:41:53.514086469Z Serving canary healthcheck request
2022-05-24T22:43:53.565893189Z Serving canary healthcheck request
2022-05-24T22:54:53.877255465Z Serving canary healthcheck request
2022-05-24T22:55:53.905195609Z Serving canary healthcheck request
2022-05-24T23:05:54.176497158Z Serving canary healthcheck request
2022-05-24T23:07:54.231426537Z Serving canary healthcheck request
2022-05-24T23:18:54.534507127Z Serving canary healthcheck request
2022-05-24T23:20:54.586064022Z Serving canary healthcheck request
2022-05-24T23:30:54.871823714Z Serving canary healthcheck request
2022-05-24T23:34:54.980716213Z Serving canary healthcheck request
