2022-05-24T18:38:36.601219466Z serving on 8888
2022-05-24T18:38:36.602106050Z serving on 8080
2022-05-24T18:49:46.829207464Z Serving canary healthcheck request
2022-05-24T18:52:46.916078888Z Serving canary healthcheck request
2022-05-24T18:59:47.108576283Z Serving canary healthcheck request
2022-05-24T19:07:47.327922261Z Serving canary healthcheck request
2022-05-24T19:13:47.505552531Z Serving canary healthcheck request
2022-05-24T19:18:47.644629012Z Serving canary healthcheck request
2022-05-24T19:21:47.725602615Z Serving canary healthcheck request
2022-05-24T19:31:47.987648343Z Serving canary healthcheck request
2022-05-24T19:37:48.150200856Z Serving canary healthcheck request
2022-05-24T19:44:48.340225298Z Serving canary healthcheck request
2022-05-24T19:47:48.434262649Z Serving canary healthcheck request
2022-05-24T19:54:48.636774422Z Serving canary healthcheck request
2022-05-24T20:02:48.857576668Z Serving canary healthcheck request
2022-05-24T20:04:48.939642510Z Serving canary healthcheck request
2022-05-24T20:13:49.260411529Z Serving canary healthcheck request
2022-05-24T20:18:49.453616073Z Serving canary healthcheck request
2022-05-24T20:22:49.569742470Z Serving canary healthcheck request
2022-05-24T20:32:49.876815108Z Serving canary healthcheck request
2022-05-24T20:33:49.904067069Z Serving canary healthcheck request
2022-05-24T20:43:50.210029111Z Serving canary healthcheck request
2022-05-24T20:46:50.297626237Z Serving canary healthcheck request
2022-05-24T20:51:50.423784656Z Serving canary healthcheck request
2022-05-24T20:59:50.647797923Z Serving canary healthcheck request
2022-05-24T21:07:50.881528759Z Serving canary healthcheck request
2022-05-24T21:13:51.048014093Z Serving canary healthcheck request
2022-05-24T21:15:51.106309597Z Serving canary healthcheck request
2022-05-24T21:23:51.321184080Z Serving canary healthcheck request
2022-05-24T21:31:51.541317162Z Serving canary healthcheck request
2022-05-24T21:35:51.649991015Z Serving canary healthcheck request
2022-05-24T21:39:51.755717736Z Serving canary healthcheck request
2022-05-24T21:46:51.956922070Z Serving canary healthcheck request
2022-05-24T21:56:52.256011125Z Serving canary healthcheck request
2022-05-24T21:57:52.284938510Z Serving canary healthcheck request
2022-05-24T22:07:52.563575585Z Serving canary healthcheck request
2022-05-24T22:09:52.618526670Z Serving canary healthcheck request
2022-05-24T22:19:52.901134496Z Serving canary healthcheck request
2022-05-24T22:24:53.043232463Z Serving canary healthcheck request
2022-05-24T22:32:53.264427605Z Serving canary healthcheck request
2022-05-24T22:35:53.345390466Z Serving canary healthcheck request
2022-05-24T22:44:53.596662898Z Serving canary healthcheck request
2022-05-24T22:48:53.707248826Z Serving canary healthcheck request
2022-05-24T22:56:53.933790014Z Serving canary healthcheck request
2022-05-24T22:57:53.960775650Z Serving canary healthcheck request
2022-05-24T23:08:54.261828808Z Serving canary healthcheck request
2022-05-24T23:09:54.288159670Z Serving canary healthcheck request
2022-05-24T23:19:54.558125616Z Serving canary healthcheck request
2022-05-24T23:21:54.623608404Z Serving canary healthcheck request
2022-05-24T23:31:54.899954953Z Serving canary healthcheck request
2022-05-24T23:35:55.009000445Z Serving canary healthcheck request
