2022-05-24T18:27:35.950382686Z serving on 8888
2022-05-24T18:27:35.950456356Z serving on 8080
2022-05-24T18:50:46.858644037Z Serving canary healthcheck request
2022-05-24T18:53:46.941614002Z Serving canary healthcheck request
2022-05-24T19:00:47.135573391Z Serving canary healthcheck request
2022-05-24T19:09:47.384579444Z Serving canary healthcheck request
2022-05-24T19:15:47.559638664Z Serving canary healthcheck request
2022-05-24T19:22:47.750546858Z Serving canary healthcheck request
2022-05-24T19:25:47.829043095Z Serving canary healthcheck request
2022-05-24T19:32:48.014460078Z Serving canary healthcheck request
2022-05-24T19:38:48.175412496Z Serving canary healthcheck request
2022-05-24T19:45:48.373162796Z Serving canary healthcheck request
2022-05-24T19:50:48.517137078Z Serving canary healthcheck request
2022-05-24T19:55:48.664826263Z Serving canary healthcheck request
2022-05-24T20:03:48.894630539Z Serving canary healthcheck request
2022-05-24T20:05:48.983144666Z Serving canary healthcheck request
2022-05-24T20:14:49.294595327Z Serving canary healthcheck request
2022-05-24T20:21:49.534598003Z Serving canary healthcheck request
2022-05-24T20:23:49.613570626Z Serving canary healthcheck request
2022-05-24T20:34:49.939820840Z Serving canary healthcheck request
2022-05-24T20:35:49.975027867Z Serving canary healthcheck request
2022-05-24T20:45:50.270677098Z Serving canary healthcheck request
2022-05-24T20:52:50.449562915Z Serving canary healthcheck request
2022-05-24T20:55:50.533379701Z Serving canary healthcheck request
2022-05-24T21:00:50.679561399Z Serving canary healthcheck request
2022-05-24T21:09:50.938914590Z Serving canary healthcheck request
2022-05-24T21:16:51.133751846Z Serving canary healthcheck request
2022-05-24T21:17:51.161076900Z Serving canary healthcheck request
2022-05-24T21:24:51.349632647Z Serving canary healthcheck request
2022-05-24T21:32:51.567222655Z Serving canary healthcheck request
2022-05-24T21:40:51.783760468Z Serving canary healthcheck request
2022-05-24T21:43:51.868739616Z Serving canary healthcheck request
2022-05-24T21:48:52.019466926Z Serving canary healthcheck request
2022-05-24T21:58:52.311461051Z Serving canary healthcheck request
2022-05-24T21:59:52.339692282Z Serving canary healthcheck request
2022-05-24T22:10:52.644788162Z Serving canary healthcheck request
2022-05-24T22:13:52.727154236Z Serving canary healthcheck request
2022-05-24T22:20:52.931849257Z Serving canary healthcheck request
2022-05-24T22:25:53.068688713Z Serving canary healthcheck request
2022-05-24T22:33:53.289763891Z Serving canary healthcheck request
2022-05-24T22:36:53.372016475Z Serving canary healthcheck request
2022-05-24T22:45:53.625833395Z Serving canary healthcheck request
2022-05-24T22:49:53.735879596Z Serving canary healthcheck request
2022-05-24T22:58:53.987051854Z Serving canary healthcheck request
2022-05-24T22:59:54.013258862Z Serving canary healthcheck request
2022-05-24T23:10:54.316630171Z Serving canary healthcheck request
2022-05-24T23:13:54.405113412Z Serving canary healthcheck request
2022-05-24T23:22:54.650030093Z Serving canary healthcheck request
2022-05-24T23:23:54.679179597Z Serving canary healthcheck request
2022-05-24T23:32:54.925151448Z Serving canary healthcheck request
