2022-05-24T18:42:09.423898475Z serving on 8888
2022-05-24T18:42:09.425586668Z serving on 8080
2022-05-24T18:46:46.742993481Z Serving canary healthcheck request
2022-05-24T18:48:46.800915326Z Serving canary healthcheck request
2022-05-24T18:56:47.028589870Z Serving canary healthcheck request
2022-05-24T19:03:47.217235387Z Serving canary healthcheck request
2022-05-24T19:05:47.273736323Z Serving canary healthcheck request
2022-05-24T19:12:47.482560478Z Serving canary healthcheck request
2022-05-24T19:19:47.671602517Z Serving canary healthcheck request
2022-05-24T19:26:47.857985391Z Serving canary healthcheck request
2022-05-24T19:30:47.962211880Z Serving canary healthcheck request
2022-05-24T19:36:48.122652524Z Serving canary healthcheck request
2022-05-24T19:41:48.260782687Z Serving canary healthcheck request
2022-05-24T19:49:48.490495998Z Serving canary healthcheck request
2022-05-24T19:56:48.691696001Z Serving canary healthcheck request
2022-05-24T19:59:48.775965494Z Serving canary healthcheck request
2022-05-24T20:09:49.117590590Z Serving canary healthcheck request
2022-05-24T20:12:49.215787237Z Serving canary healthcheck request
2022-05-24T20:19:49.480678887Z Serving canary healthcheck request
2022-05-24T20:28:49.762900607Z Serving canary healthcheck request
2022-05-24T20:29:49.792258830Z Serving canary healthcheck request
2022-05-24T20:40:50.120904083Z Serving canary healthcheck request
2022-05-24T20:41:50.148490377Z Serving canary healthcheck request
2022-05-24T20:49:50.373094895Z Serving canary healthcheck request
2022-05-24T20:57:50.588186218Z Serving canary healthcheck request
2022-05-24T21:02:50.736912168Z Serving canary healthcheck request
2022-05-24T21:05:50.826239654Z Serving canary healthcheck request
2022-05-24T21:12:51.019391890Z Serving canary healthcheck request
2022-05-24T21:20:51.242670085Z Serving canary healthcheck request
2022-05-24T21:28:51.462066553Z Serving canary healthcheck request
2022-05-24T21:29:51.487718864Z Serving canary healthcheck request
2022-05-24T21:37:51.703497232Z Serving canary healthcheck request
2022-05-24T21:44:51.898402159Z Serving canary healthcheck request
2022-05-24T21:50:52.073250976Z Serving canary healthcheck request
2022-05-24T21:53:52.170017132Z Serving canary healthcheck request
2022-05-24T22:04:52.480543644Z Serving canary healthcheck request
2022-05-24T22:06:52.536949060Z Serving canary healthcheck request
2022-05-24T22:15:52.787727335Z Serving canary healthcheck request
2022-05-24T22:18:52.872243711Z Serving canary healthcheck request
2022-05-24T22:28:53.153064985Z Serving canary healthcheck request
2022-05-24T22:29:53.182077689Z Serving canary healthcheck request
2022-05-24T22:40:53.483025964Z Serving canary healthcheck request
2022-05-24T22:42:53.540694940Z Serving canary healthcheck request
2022-05-24T22:51:53.791821923Z Serving canary healthcheck request
2022-05-24T22:53:53.850325147Z Serving canary healthcheck request
2022-05-24T23:04:54.148092566Z Serving canary healthcheck request
2022-05-24T23:06:54.203145790Z Serving canary healthcheck request
2022-05-24T23:16:54.481916800Z Serving canary healthcheck request
2022-05-24T23:17:54.509419636Z Serving canary healthcheck request
2022-05-24T23:28:54.812538059Z Serving canary healthcheck request
2022-05-24T23:29:54.843734079Z Serving canary healthcheck request
