2022-05-24T18:32:29.112077377Z serving on 8888
2022-05-24T18:32:29.112650576Z serving on 8080
2022-05-24T18:54:46.973541220Z Serving canary healthcheck request
2022-05-24T18:58:47.082858350Z Serving canary healthcheck request
2022-05-24T19:02:47.186555065Z Serving canary healthcheck request
2022-05-24T19:10:47.427942983Z Serving canary healthcheck request
2022-05-24T19:16:47.584061122Z Serving canary healthcheck request
2022-05-24T19:23:47.776762674Z Serving canary healthcheck request
2022-05-24T19:27:47.881299822Z Serving canary healthcheck request
2022-05-24T19:33:48.042229298Z Serving canary healthcheck request
2022-05-24T19:39:48.204514922Z Serving canary healthcheck request
2022-05-24T19:46:48.405379049Z Serving canary healthcheck request
2022-05-24T19:51:48.553099640Z Serving canary healthcheck request
2022-05-24T19:57:48.718883161Z Serving canary healthcheck request
2022-05-24T20:06:49.024675862Z Serving canary healthcheck request
2022-05-24T20:07:49.053924492Z Serving canary healthcheck request
2022-05-24T20:15:49.343907832Z Serving canary healthcheck request
2022-05-24T20:24:49.647553744Z Serving canary healthcheck request
2022-05-24T20:25:49.673771764Z Serving canary healthcheck request
2022-05-24T20:36:50.002212866Z Serving canary healthcheck request
2022-05-24T20:37:50.027904984Z Serving canary healthcheck request
2022-05-24T20:47:50.322812125Z Serving canary healthcheck request
2022-05-24T20:53:50.478703927Z Serving canary healthcheck request
2022-05-24T20:56:50.560672569Z Serving canary healthcheck request
2022-05-24T21:03:50.766213043Z Serving canary healthcheck request
2022-05-24T21:10:50.965760344Z Serving canary healthcheck request
2022-05-24T21:18:51.185588892Z Serving canary healthcheck request
2022-05-24T21:21:51.269996923Z Serving canary healthcheck request
2022-05-24T21:25:51.373422531Z Serving canary healthcheck request
2022-05-24T21:33:51.593992943Z Serving canary healthcheck request
2022-05-24T21:41:51.812920210Z Serving canary healthcheck request
2022-05-24T21:47:51.990725282Z Serving canary healthcheck request
2022-05-24T21:51:52.114281231Z Serving canary healthcheck request
2022-05-24T22:00:52.365388445Z Serving canary healthcheck request
2022-05-24T22:02:52.426642738Z Serving canary healthcheck request
2022-05-24T22:11:52.672010453Z Serving canary healthcheck request
2022-05-24T22:14:52.758556616Z Serving canary healthcheck request
2022-05-24T22:21:52.955649070Z Serving canary healthcheck request
2022-05-24T22:26:53.097086929Z Serving canary healthcheck request
2022-05-24T22:34:53.317675655Z Serving canary healthcheck request
2022-05-24T22:37:53.397052561Z Serving canary healthcheck request
2022-05-24T22:46:53.653265477Z Serving canary healthcheck request
2022-05-24T22:50:53.766928724Z Serving canary healthcheck request
2022-05-24T23:00:54.038235364Z Serving canary healthcheck request
2022-05-24T23:01:54.063675913Z Serving canary healthcheck request
2022-05-24T23:11:54.344863579Z Serving canary healthcheck request
2022-05-24T23:14:54.431413039Z Serving canary healthcheck request
2022-05-24T23:24:54.704301562Z Serving canary healthcheck request
2022-05-24T23:26:54.759828396Z Serving canary healthcheck request
2022-05-24T23:33:54.955249416Z Serving canary healthcheck request
