2022-05-24T18:36:39.648090153Z I0524 18:36:39.648008       1 cmd.go:209] Using service-serving-cert provided certificates
2022-05-24T18:36:39.648466629Z I0524 18:36:39.648449       1 observer_polling.go:159] Starting file observer
2022-05-24T18:36:40.721606706Z I0524 18:36:40.721573       1 builder.go:262] kube-controller-manager-operator version 4.10.0-202204211158.p0.gca3ff53.assembly.stream-ca3ff53-ca3ff5396f45632a4ae9997d9b71441b52b62efd
2022-05-24T18:36:41.415656268Z W0524 18:36:41.415624       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2022-05-24T18:36:41.415656268Z W0524 18:36:41.415639       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2022-05-24T18:36:41.460524888Z I0524 18:36:41.460408       1 secure_serving.go:266] Serving securely on [::]:8443
2022-05-24T18:36:41.461504884Z I0524 18:36:41.461479       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
2022-05-24T18:36:41.461568029Z I0524 18:36:41.461555       1 shared_informer.go:240] Waiting for caches to sync for RequestHeaderAuthRequestController
2022-05-24T18:36:41.461657164Z I0524 18:36:41.461632       1 dynamic_serving_content.go:131] "Starting controller" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2022-05-24T18:36:41.462258558Z I0524 18:36:41.462235       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
2022-05-24T18:36:41.462925992Z I0524 18:36:41.462279       1 configmap_cafile_content.go:201] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2022-05-24T18:36:41.462925992Z I0524 18:36:41.462917       1 shared_informer.go:240] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2022-05-24T18:36:41.462956818Z I0524 18:36:41.462451       1 configmap_cafile_content.go:201] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2022-05-24T18:36:41.462956818Z I0524 18:36:41.462952       1 shared_informer.go:240] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
2022-05-24T18:36:41.465415118Z I0524 18:36:41.465375       1 leaderelection.go:248] attempting to acquire leader lease openshift-kube-controller-manager-operator/kube-controller-manager-operator-lock...
2022-05-24T18:36:41.546513072Z I0524 18:36:41.546473       1 leaderelection.go:258] successfully acquired lease openshift-kube-controller-manager-operator/kube-controller-manager-operator-lock
