2022-05-24T18:42:47.891845609Z I0524 18:42:47.891690       1 base_controller.go:67] Waiting for caches to sync for CertSyncController
2022-05-24T18:42:47.891985172Z I0524 18:42:47.891891       1 event.go:285] Event(v1.ObjectReference{Kind:"Pod", Namespace:"openshift-kube-controller-manager", Name:"kube-controller-manager-ip-10-0-138-197.ec2.internal", UID:"", APIVersion:"v1", ResourceVersion:"", FieldPath:""}): type: 'Warning' reason: 'FastControllerResync' Controller "CertSyncController" resync interval is set to 0s which might lead to client request throttling
2022-05-24T18:42:47.892036382Z I0524 18:42:47.891972       1 observer_polling.go:159] Starting file observer
2022-05-24T18:42:47.993079206Z I0524 18:42:47.993042       1 base_controller.go:73] Caches are synced for CertSyncController 
2022-05-24T18:42:47.993079206Z I0524 18:42:47.993063       1 base_controller.go:110] Starting #1 worker of CertSyncController controller ...
2022-05-24T18:42:47.993158291Z I0524 18:42:47.993125       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:42:47.993362026Z I0524 18:42:47.993342       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:43:04.928608979Z I0524 18:43:04.928544       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:43:04.928798361Z I0524 18:43:04.928778       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:43:13.212434822Z I0524 18:43:13.212384       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:43:13.212707249Z I0524 18:43:13.212685       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:43:30.937939227Z I0524 18:43:30.937894       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:43:30.938158977Z I0524 18:43:30.938128       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
2022-05-24T18:43:39.236136589Z I0524 18:43:39.236088       1 certsync_controller.go:66] Syncing configmaps: [{aggregator-client-ca false} {client-ca false} {trusted-ca-bundle true}]
2022-05-24T18:43:39.236508883Z I0524 18:43:39.236486       1 certsync_controller.go:170] Syncing secrets: [{kube-controller-manager-client-cert-key false} {csr-signer false}]
