2022-05-24T18:36:32.479046055Z I0524 18:36:32.478960       1 cmd.go:209] Using service-serving-cert provided certificates
2022-05-24T18:36:32.479396101Z I0524 18:36:32.479378       1 observer_polling.go:159] Starting file observer
2022-05-24T18:36:35.751389838Z I0524 18:36:35.751346       1 builder.go:262] openshift-cluster-kube-scheduler-operator version 4.10.0-202204211158.p0.g0c57d73.assembly.stream-0c57d73-0c57d73f94b50ab95fc2914a7615cc1b23e7678e
2022-05-24T18:36:35.760582669Z I0524 18:36:35.760531       1 dynamic_serving_content.go:112] "Loaded a new cert/key pair" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2022-05-24T18:36:36.628144405Z I0524 18:36:36.627543       1 requestheader_controller.go:244] Loaded a new request header values for RequestHeaderAuthRequestController
2022-05-24T18:36:36.633923441Z W0524 18:36:36.633887       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256' detected.
2022-05-24T18:36:36.633923441Z W0524 18:36:36.633907       1 secure_serving.go:69] Use of insecure cipher 'TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256' detected.
2022-05-24T18:36:36.634226949Z I0524 18:36:36.634204       1 genericapiserver.go:406] MuxAndDiscoveryComplete has all endpoints registered and discovery information is complete
2022-05-24T18:36:36.739977893Z I0524 18:36:36.739325       1 configmap_cafile_content.go:201] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2022-05-24T18:36:36.741421063Z I0524 18:36:36.741389       1 shared_informer.go:240] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2022-05-24T18:36:36.741447329Z I0524 18:36:36.739402       1 configmap_cafile_content.go:201] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2022-05-24T18:36:36.741447329Z I0524 18:36:36.741433       1 shared_informer.go:240] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
2022-05-24T18:36:36.741887288Z I0524 18:36:36.741365       1 leaderelection.go:248] attempting to acquire leader lease openshift-kube-scheduler-operator/openshift-cluster-kube-scheduler-operator-lock...
2022-05-24T18:36:36.742261559Z I0524 18:36:36.742239       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
2022-05-24T18:36:36.742306921Z I0524 18:36:36.742291       1 shared_informer.go:240] Waiting for caches to sync for RequestHeaderAuthRequestController
2022-05-24T18:36:36.742746308Z I0524 18:36:36.742724       1 tlsconfig.go:200] "Loaded serving cert" certName="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key" certDetail="\"metrics.openshift-kube-scheduler-operator.svc\" [serving] validServingFor=[metrics.openshift-kube-scheduler-operator.svc,metrics.openshift-kube-scheduler-operator.svc.cluster.local] issuer=\"openshift-service-serving-signer@1653415662\" (2022-05-24 18:07:57 +0000 UTC to 2024-05-23 18:07:58 +0000 UTC (now=2022-05-24 18:36:36.742687627 +0000 UTC))"
2022-05-24T18:36:36.742890954Z I0524 18:36:36.742874       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1653417396\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1653417396\" (2022-05-24 17:36:35 +0000 UTC to 2023-05-24 17:36:35 +0000 UTC (now=2022-05-24 18:36:36.742857774 +0000 UTC))"
2022-05-24T18:36:36.742920562Z I0524 18:36:36.742908       1 secure_serving.go:266] Serving securely on [::]:8443
2022-05-24T18:36:36.742993857Z I0524 18:36:36.742981       1 genericapiserver.go:462] [graceful-termination] waiting for shutdown to be initiated
2022-05-24T18:36:36.743028365Z I0524 18:36:36.743009       1 dynamic_serving_content.go:131] "Starting controller" name="serving-cert::/var/run/secrets/serving-cert/tls.crt::/var/run/secrets/serving-cert/tls.key"
2022-05-24T18:36:36.743103679Z I0524 18:36:36.743085       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
2022-05-24T18:36:36.841992677Z I0524 18:36:36.841955       1 shared_informer.go:247] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file 
2022-05-24T18:36:36.842111848Z I0524 18:36:36.842060       1 shared_informer.go:247] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file 
