2022-05-24T18:32:28.458536958Z I0524 18:32:28.458388       1 main.go:23] Go Version: go1.17.5
2022-05-24T18:32:28.458536958Z I0524 18:32:28.458494       1 main.go:24] Go OS/Arch: linux/amd64
2022-05-24T18:32:28.458536958Z I0524 18:32:28.458498       1 main.go:25] operator-sdk Version: v0.5.0+git
2022-05-24T18:32:28.458852776Z I0524 18:32:28.458826       1 main.go:89] Watching machine-api objects only in namespace "openshift-machine-api" for reconciliation.
2022-05-24T18:32:31.641487537Z I0524 18:32:31.640033       1 request.go:597] Waited for 95.572033ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/network.openshift.io/v1?timeout=32s
2022-05-24T18:32:31.690029532Z I0524 18:32:31.689993       1 request.go:597] Waited for 145.480849ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/authorization.openshift.io/v1?timeout=32s
2022-05-24T18:32:31.740401423Z I0524 18:32:31.740368       1 request.go:597] Waited for 195.842234ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/build.openshift.io/v1?timeout=32s
2022-05-24T18:32:31.789778483Z I0524 18:32:31.789743       1 request.go:597] Waited for 245.255375ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/image.openshift.io/v1?timeout=32s
2022-05-24T18:32:31.840281940Z I0524 18:32:31.840251       1 request.go:597] Waited for 295.744026ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/policy/v1beta1?timeout=32s
2022-05-24T18:32:31.889939432Z I0524 18:32:31.889900       1 request.go:597] Waited for 345.39966ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/helm.openshift.io/v1beta1?timeout=32s
2022-05-24T18:32:31.939763127Z I0524 18:32:31.939719       1 request.go:597] Waited for 395.200781ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/rbac.authorization.k8s.io/v1?timeout=32s
2022-05-24T18:32:31.990427161Z I0524 18:32:31.990395       1 request.go:597] Waited for 445.877479ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/policy/v1?timeout=32s
2022-05-24T18:32:32.040001587Z I0524 18:32:32.039938       1 request.go:597] Waited for 495.418362ms due to client-side throttling, not priority and fairness, request: GET:https://172.30.0.1:443/apis/tuned.openshift.io/v1?timeout=32s
