2022-05-24T18:35:02.324824364Z I0524 18:35:02.324653       1 main.go:108] Using default resources
2022-05-24T18:35:02.324917016Z I0524 18:35:02.324818       1 types.go:136] Using all namespace
2022-05-24T18:35:02.325135885Z I0524 18:35:02.325113       1 main.go:133] metric allow-denylisting: Excluding the following lists that were on denylist: kube_pod_init_container_status_terminated, kube_secret_labels, kube_replicaset_metadata_generation, kube_pod_status_scheduled, kube_pod_restart_policy, kube_replicaset_status_observed_generation, kube_pod_init_container_status_running, kube_pod_container_status_running, kube_pod_container_status_terminated, kube_pod_completion_time, kube_.+_created, kube_.+_metadata_resource_version, kube_.*_annotations
2022-05-24T18:35:02.325167138Z W0524 18:35:02.325152       1 client_config.go:617] Neither --kubeconfig nor --master was specified.  Using the inClusterConfig.  This might not work.
2022-05-24T18:35:02.334930930Z I0524 18:35:02.334890       1 main.go:247] Testing communication with server
2022-05-24T18:35:05.420576647Z I0524 18:35:05.420537       1 main.go:252] Running with Kubernetes cluster version: v1.23. git version: v1.23.5+b463d71. git tree state: clean. commit: 3c28e7a79b58e78b4c1dc1ab7e5f6c6c2d3aedd3. platform: linux/amd64
2022-05-24T18:35:05.420647827Z I0524 18:35:05.420615       1 main.go:254] Communication with server successful
2022-05-24T18:35:05.420867528Z I0524 18:35:05.420842       1 main.go:210] Starting metrics server: 127.0.0.1:8081
2022-05-24T18:35:05.420916962Z I0524 18:35:05.420884       1 metrics_handler.go:96] Autosharding disabled
2022-05-24T18:35:05.421125933Z I0524 18:35:05.421089       1 main.go:66] levelinfomsgTLS is disabled.http2false
2022-05-24T18:35:05.421205896Z I0524 18:35:05.421191       1 main.go:199] Starting kube-state-metrics self metrics server: 127.0.0.1:8082
2022-05-24T18:35:05.421276502Z I0524 18:35:05.421261       1 main.go:66] levelinfomsgTLS is disabled.http2false
2022-05-24T18:35:05.423300875Z I0524 18:35:05.423275       1 builder.go:192] Active resources: certificatesigningrequests,configmaps,cronjobs,daemonsets,deployments,endpoints,horizontalpodautoscalers,ingresses,jobs,leases,limitranges,mutatingwebhookconfigurations,namespaces,networkpolicies,nodes,persistentvolumeclaims,persistentvolumes,poddisruptionbudgets,pods,replicasets,replicationcontrollers,resourcequotas,secrets,services,statefulsets,storageclasses,validatingwebhookconfigurations,volumeattachments
2022-05-24T18:35:05.450675614Z W0524 18:35:05.450572       1 warnings.go:70] autoscaling/v2beta2 HorizontalPodAutoscaler is deprecated in v1.23+, unavailable in v1.26+; use autoscaling/v2 HorizontalPodAutoscaler
2022-05-24T18:35:05.455594689Z W0524 18:35:05.451614       1 warnings.go:70] batch/v1beta1 CronJob is deprecated in v1.21+, unavailable in v1.25+; use batch/v1 CronJob
2022-05-24T18:35:05.468410896Z W0524 18:35:05.468375       1 warnings.go:70] policy/v1beta1 PodDisruptionBudget is deprecated in v1.21+, unavailable in v1.25+; use policy/v1 PodDisruptionBudget
2022-05-24T18:35:05.473727990Z W0524 18:35:05.473689       1 warnings.go:70] autoscaling/v2beta2 HorizontalPodAutoscaler is deprecated in v1.23+, unavailable in v1.26+; use autoscaling/v2 HorizontalPodAutoscaler
2022-05-24T18:35:05.480948457Z W0524 18:35:05.480909       1 warnings.go:70] policy/v1beta1 PodDisruptionBudget is deprecated in v1.21+, unavailable in v1.25+; use policy/v1 PodDisruptionBudget
2022-05-24T18:35:05.487390738Z W0524 18:35:05.487357       1 warnings.go:70] batch/v1beta1 CronJob is deprecated in v1.21+, unavailable in v1.25+; use batch/v1 CronJob
2022-05-24T18:39:49.548075424Z W0524 18:39:49.548039       1 warnings.go:70] policy/v1beta1 PodDisruptionBudget is deprecated in v1.21+, unavailable in v1.25+; use policy/v1 PodDisruptionBudget
2022-05-24T18:39:49.551700733Z W0524 18:39:49.551671       1 warnings.go:70] autoscaling/v2beta2 HorizontalPodAutoscaler is deprecated in v1.23+, unavailable in v1.26+; use autoscaling/v2 HorizontalPodAutoscaler
2022-05-24T18:39:49.725502781Z W0524 18:39:49.725462       1 warnings.go:70] batch/v1beta1 CronJob is deprecated in v1.21+, unavailable in v1.25+; use batch/v1 CronJob
2022-05-24T18:44:54.553460009Z W0524 18:44:54.553413       1 warnings.go:70] autoscaling/v2beta2 HorizontalPodAutoscaler is deprecated in v1.23+, unavailable in v1.26+; use autoscaling/v2 HorizontalPodAutoscaler
2022-05-24T18:45:08.730403413Z W0524 18:45:08.730359       1 warnings.go:70] policy/v1beta1 PodDisruptionBudget is deprecated in v1.21+, unavailable in v1.25+; use policy/v1 PodDisruptionBudget
