2022-05-24T18:32:43.844362413Z 2022/05/24 18:32:43 provider.go:129: Defaulting client-id to system:serviceaccount:openshift-monitoring:prometheus-k8s
2022-05-24T18:32:43.844446135Z 2022/05/24 18:32:43 provider.go:134: Defaulting client-secret to service account token /var/run/secrets/kubernetes.io/serviceaccount/token
2022-05-24T18:32:43.846068819Z 2022/05/24 18:32:43 provider.go:358: Delegation of authentication and authorization to OpenShift is enabled for bearer tokens and client certificates.
2022-05-24T18:32:43.884021257Z 2022/05/24 18:32:43 oauthproxy.go:203: mapping path "/" => upstream "http://localhost:9090/"
2022-05-24T18:32:43.884021257Z 2022/05/24 18:32:43 oauthproxy.go:230: OAuthProxy configured for  Client ID: system:serviceaccount:openshift-monitoring:prometheus-k8s
2022-05-24T18:32:43.884058118Z 2022/05/24 18:32:43 oauthproxy.go:240: Cookie settings: name:_oauth_proxy secure(https):true httponly:true expiry:168h0m0s domain:<default> samesite: refresh:disabled
2022-05-24T18:32:43.884316445Z 2022/05/24 18:32:43 main.go:156: using htpasswd file /etc/proxy/htpasswd/auth
2022-05-24T18:32:43.884652953Z I0524 18:32:43.884605       1 dynamic_serving_content.go:130] Starting serving::/etc/tls/private/tls.crt::/etc/tls/private/tls.key
2022-05-24T18:32:43.884713146Z 2022/05/24 18:32:43 http.go:107: HTTPS: listening on [::]:9091
2022-05-24T18:34:26.439911576Z 2022/05/24 18:34:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:36:26.434722402Z 2022/05/24 18:36:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:38:26.435195573Z 2022/05/24 18:38:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:40:26.434953051Z 2022/05/24 18:40:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:42:26.434551169Z 2022/05/24 18:42:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:44:26.435284181Z 2022/05/24 18:44:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:46:26.434503707Z 2022/05/24 18:46:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:48:26.435347999Z 2022/05/24 18:48:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:50:26.435312234Z 2022/05/24 18:50:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:52:26.435326629Z 2022/05/24 18:52:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:54:26.435720806Z 2022/05/24 18:54:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:56:26.435292686Z 2022/05/24 18:56:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T18:58:26.434892651Z 2022/05/24 18:58:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:00:26.435308201Z 2022/05/24 19:00:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:02:26.435267238Z 2022/05/24 19:02:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:04:26.434844714Z 2022/05/24 19:04:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:06:26.435064896Z 2022/05/24 19:06:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:08:26.435516219Z 2022/05/24 19:08:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:10:26.435237666Z 2022/05/24 19:10:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:12:26.434692392Z 2022/05/24 19:12:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:14:26.435182759Z 2022/05/24 19:14:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:16:26.434486679Z 2022/05/24 19:16:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:18:26.435274401Z 2022/05/24 19:18:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:20:26.434620752Z 2022/05/24 19:20:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:22:26.434809869Z 2022/05/24 19:22:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:24:26.434978304Z 2022/05/24 19:24:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:26:26.434928627Z 2022/05/24 19:26:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:28:26.434989199Z 2022/05/24 19:28:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:30:26.434792255Z 2022/05/24 19:30:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:32:26.435428735Z 2022/05/24 19:32:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:34:26.435454138Z 2022/05/24 19:34:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:36:26.435519103Z 2022/05/24 19:36:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:38:26.435116907Z 2022/05/24 19:38:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:40:26.434960044Z 2022/05/24 19:40:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:42:26.434854849Z 2022/05/24 19:42:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:44:26.434731898Z 2022/05/24 19:44:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:46:26.434702149Z 2022/05/24 19:46:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:48:26.435352594Z 2022/05/24 19:48:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:50:26.435308602Z 2022/05/24 19:50:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:52:26.435280156Z 2022/05/24 19:52:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:54:26.435203379Z 2022/05/24 19:54:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:56:26.435019536Z 2022/05/24 19:56:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T19:58:26.434449522Z 2022/05/24 19:58:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:00:26.434871453Z 2022/05/24 20:00:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:02:26.434808286Z 2022/05/24 20:02:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:04:26.434978816Z 2022/05/24 20:04:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:06:26.434868819Z 2022/05/24 20:06:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:08:26.435060709Z 2022/05/24 20:08:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:10:26.434501082Z 2022/05/24 20:10:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:12:26.435410772Z 2022/05/24 20:12:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:14:26.435343358Z 2022/05/24 20:14:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:16:26.434499886Z 2022/05/24 20:16:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:18:26.435344300Z 2022/05/24 20:18:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:20:26.435312792Z 2022/05/24 20:20:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:22:26.435374711Z 2022/05/24 20:22:26 oauthproxy.go:857: authenticated "internal" via basic auth
2022-05-24T20:24:26.434874517Z 2022/05/24 20:24:26 oauthproxy.go:857: authenticated "internal" via basic auth
