2022-05-24T18:35:02.295385619Z level=info ts=2022-05-24T18:35:02.295299795Z caller=main.go:217 msg="Starting Prometheus Operator" version="(version=0.53.1, branch=rhaos-4.10-rhel-8, revision=bec7831)"
2022-05-24T18:35:02.295385619Z level=info ts=2022-05-24T18:35:02.295354417Z caller=main.go:218 build_context="(go=go1.17.5, user=root, date=20220421-14:16:01)"
2022-05-24T18:35:02.298982076Z level=info ts=2022-05-24T18:35:02.298933532Z caller=server.go:54 msg="enabling server side TLS"
2022-05-24T18:35:02.301429621Z level=info ts=2022-05-24T18:35:02.301368061Z caller=main.go:111 msg="Starting secure server on [::]:8080"
2022-05-24T18:35:05.419874465Z level=info ts=2022-05-24T18:35:05.419805183Z caller=operator.go:419 component=prometheusoperator msg="connection established" cluster-version=v1.23.5+b463d71
2022-05-24T18:35:05.419950027Z level=info ts=2022-05-24T18:35:05.419926089Z caller=operator.go:428 component=prometheusoperator msg="CRD API endpoints ready"
2022-05-24T18:35:05.420045842Z level=info ts=2022-05-24T18:35:05.419789965Z caller=operator.go:448 component=alertmanageroperator msg="connection established" cluster-version=v1.23.5+b463d71
2022-05-24T18:35:05.420093529Z level=info ts=2022-05-24T18:35:05.420072054Z caller=operator.go:457 component=alertmanageroperator msg="CRD API endpoints ready"
2022-05-24T18:35:05.421597417Z level=info ts=2022-05-24T18:35:05.419872064Z caller=operator.go:309 component=thanosoperator msg="connection established" cluster-version=v1.23.5+b463d71
2022-05-24T18:35:05.421680795Z level=info ts=2022-05-24T18:35:05.421656265Z caller=operator.go:318 component=thanosoperator msg="CRD API endpoints ready"
2022-05-24T18:35:05.554716496Z level=info ts=2022-05-24T18:35:05.55112204Z caller=operator.go:261 component=thanosoperator msg="successfully synced all caches"
2022-05-24T18:35:05.649906366Z level=info ts=2022-05-24T18:35:05.649841653Z caller=operator.go:349 component=prometheusoperator msg="successfully synced all caches"
2022-05-24T18:35:05.652510803Z level=info ts=2022-05-24T18:35:05.652451262Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:35:06.278584628Z level=info ts=2022-05-24T18:35:06.27853338Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:35:06.845146341Z level=info ts=2022-05-24T18:35:06.845091634Z caller=operator.go:280 component=alertmanageroperator msg="successfully synced all caches"
2022-05-24T18:35:06.845888297Z level=info ts=2022-05-24T18:35:06.845852257Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:35:06.879268258Z level=info ts=2022-05-24T18:35:06.879160181Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:35:16.781660741Z level=info ts=2022-05-24T18:35:16.781579365Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:35:16.781660741Z level=info ts=2022-05-24T18:35:16.781596143Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:35:18.711387927Z level=info ts=2022-05-24T18:35:18.711322979Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:35:18.711467299Z level=info ts=2022-05-24T18:35:18.71132494Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:35:18.740986100Z level=info ts=2022-05-24T18:35:18.740942125Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:35:18.991978259Z level=info ts=2022-05-24T18:35:18.991927591Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:36:49.782941589Z level=info ts=2022-05-24T18:36:49.782871969Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:36:49.784114741Z level=info ts=2022-05-24T18:36:49.782862107Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:36:51.747120503Z level=info ts=2022-05-24T18:36:51.747064711Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:36:51.747188044Z level=info ts=2022-05-24T18:36:51.747057948Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:36:51.780417321Z level=info ts=2022-05-24T18:36:51.780367899Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:36:52.063109164Z level=info ts=2022-05-24T18:36:52.063059443Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:36:58.378007171Z level=info ts=2022-05-24T18:36:58.37795244Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:36:58.680225131Z level=info ts=2022-05-24T18:36:58.680173774Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:37:55.940774054Z level=info ts=2022-05-24T18:37:55.940717475Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:37:55.941286236Z level=info ts=2022-05-24T18:37:55.941249168Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:56.059223432Z level=info ts=2022-05-24T18:37:56.059172949Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:56.320277243Z level=info ts=2022-05-24T18:37:56.320222981Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:37:57.951413719Z level=info ts=2022-05-24T18:37:57.951354041Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:37:57.952573968Z level=info ts=2022-05-24T18:37:57.952517819Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:58.916181718Z level=info ts=2022-05-24T18:37:58.916125291Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:37:58.916740009Z level=info ts=2022-05-24T18:37:58.916697836Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:59.200288282Z level=info ts=2022-05-24T18:37:59.200224169Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:59.310375002Z level=info ts=2022-05-24T18:37:59.310318094Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:59.329582102Z level=info ts=2022-05-24T18:37:59.329535998Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:37:59.476297726Z level=info ts=2022-05-24T18:37:59.476239726Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:59.576006333Z level=info ts=2022-05-24T18:37:59.575952956Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:59.656892015Z level=info ts=2022-05-24T18:37:59.656851912Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:59.712215685Z level=info ts=2022-05-24T18:37:59.712163344Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:37:59.797838811Z level=info ts=2022-05-24T18:37:59.797788799Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:37:59.987616919Z level=info ts=2022-05-24T18:37:59.987566336Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:00.042453245Z level=info ts=2022-05-24T18:38:00.042395041Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:00.829086158Z level=info ts=2022-05-24T18:38:00.829034804Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:00.829806474Z level=info ts=2022-05-24T18:38:00.829762464Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:01.152470757Z level=info ts=2022-05-24T18:38:01.152406975Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:01.163508996Z level=info ts=2022-05-24T18:38:01.163421543Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:01.197822390Z level=info ts=2022-05-24T18:38:01.197776177Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:01.474116183Z level=info ts=2022-05-24T18:38:01.474065473Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:02.278582326Z level=info ts=2022-05-24T18:38:02.278512168Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:02.278926057Z level=info ts=2022-05-24T18:38:02.278891765Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:02.560188588Z level=info ts=2022-05-24T18:38:02.560142172Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:02.595498783Z level=info ts=2022-05-24T18:38:02.595436762Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:02.695218683Z level=info ts=2022-05-24T18:38:02.695169255Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:02.826616496Z level=info ts=2022-05-24T18:38:02.826565087Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:02.895921776Z level=info ts=2022-05-24T18:38:02.895869011Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:03.633320839Z level=info ts=2022-05-24T18:38:03.633268262Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:03.633388266Z level=info ts=2022-05-24T18:38:03.633269424Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:03.699426559Z level=info ts=2022-05-24T18:38:03.699361876Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:03.940804446Z level=info ts=2022-05-24T18:38:03.940754012Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:04.007257243Z level=info ts=2022-05-24T18:38:04.007210348Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:04.054449563Z level=info ts=2022-05-24T18:38:04.054380163Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:04.232615909Z level=info ts=2022-05-24T18:38:04.232551577Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:04.248792338Z level=info ts=2022-05-24T18:38:04.248741812Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:04.298154294Z level=info ts=2022-05-24T18:38:04.298095112Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:04.546385020Z level=info ts=2022-05-24T18:38:04.54632519Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:04.655873458Z level=info ts=2022-05-24T18:38:04.655818825Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:04.708549519Z level=info ts=2022-05-24T18:38:04.708493641Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:04.906099037Z level=info ts=2022-05-24T18:38:04.906053526Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:04.971957509Z level=info ts=2022-05-24T18:38:04.971907748Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:05.004481350Z level=info ts=2022-05-24T18:38:05.004435201Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:05.255764402Z level=info ts=2022-05-24T18:38:05.255708403Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:05.327446485Z level=info ts=2022-05-24T18:38:05.327391141Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:05.965996214Z level=info ts=2022-05-24T18:38:05.965944714Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:05.966409166Z level=info ts=2022-05-24T18:38:05.966376111Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:06.159563987Z level=info ts=2022-05-24T18:38:06.159490008Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T18:38:06.264313159Z level=info ts=2022-05-24T18:38:06.264258928Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T18:38:06.340523427Z level=info ts=2022-05-24T18:38:06.340460195Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
