2022-05-24T18:31:41.385404166Z I0524 18:31:41.385263       1 flags.go:59] FLAG: --accesstoken-inactivity-timeout="0s"
2022-05-24T18:31:41.385404166Z I0524 18:31:41.385377       1 flags.go:59] FLAG: --add-dir-header="false"
2022-05-24T18:31:41.385404166Z I0524 18:31:41.385384       1 flags.go:59] FLAG: --admission-control-config-file=""
2022-05-24T18:31:41.385404166Z I0524 18:31:41.385391       1 flags.go:59] FLAG: --advertise-address="<nil>"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385396       1 flags.go:59] FLAG: --alsologtostderr="false"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385401       1 flags.go:59] FLAG: --api-audiences="[https://rh-oidc.s3.us-east-1.amazonaws.com/1sdcrj3pmooemv6apkbt2v41v18s45kb]"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385411       1 flags.go:59] FLAG: --audit-log-batch-buffer-size="10000"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385416       1 flags.go:59] FLAG: --audit-log-batch-max-size="1"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385420       1 flags.go:59] FLAG: --audit-log-batch-max-wait="0s"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385424       1 flags.go:59] FLAG: --audit-log-batch-throttle-burst="0"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385428       1 flags.go:59] FLAG: --audit-log-batch-throttle-enable="false"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385434       1 flags.go:59] FLAG: --audit-log-batch-throttle-qps="0"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385439       1 flags.go:59] FLAG: --audit-log-compress="false"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385443       1 flags.go:59] FLAG: --audit-log-format="json"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385447       1 flags.go:59] FLAG: --audit-log-maxage="0"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385451       1 flags.go:59] FLAG: --audit-log-maxbackup="10"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385455       1 flags.go:59] FLAG: --audit-log-maxsize="100"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385459       1 flags.go:59] FLAG: --audit-log-mode="blocking"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385464       1 flags.go:59] FLAG: --audit-log-path="/var/log/oauth-apiserver/audit.log"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385468       1 flags.go:59] FLAG: --audit-log-truncate-enabled="false"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385472       1 flags.go:59] FLAG: --audit-log-truncate-max-batch-size="10485760"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385478       1 flags.go:59] FLAG: --audit-log-truncate-max-event-size="102400"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385482       1 flags.go:59] FLAG: --audit-log-version="audit.k8s.io/v1"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385486       1 flags.go:59] FLAG: --audit-policy-file="/var/run/configmaps/audit/policy.yaml"
2022-05-24T18:31:41.385498049Z I0524 18:31:41.385491       1 flags.go:59] FLAG: --audit-webhook-batch-buffer-size="10000"
2022-05-24T18:31:41.385516716Z I0524 18:31:41.385495       1 flags.go:59] FLAG: --audit-webhook-batch-initial-backoff="10s"
2022-05-24T18:31:41.385516716Z I0524 18:31:41.385501       1 flags.go:59] FLAG: --audit-webhook-batch-max-size="400"
2022-05-24T18:31:41.385516716Z I0524 18:31:41.385505       1 flags.go:59] FLAG: --audit-webhook-batch-max-wait="30s"
2022-05-24T18:31:41.385516716Z I0524 18:31:41.385509       1 flags.go:59] FLAG: --audit-webhook-batch-throttle-burst="15"
2022-05-24T18:31:41.385516716Z I0524 18:31:41.385512       1 flags.go:59] FLAG: --audit-webhook-batch-throttle-enable="true"
2022-05-24T18:31:41.385529445Z I0524 18:31:41.385516       1 flags.go:59] FLAG: --audit-webhook-batch-throttle-qps="10"
2022-05-24T18:31:41.385529445Z I0524 18:31:41.385520       1 flags.go:59] FLAG: --audit-webhook-config-file=""
2022-05-24T18:31:41.385529445Z I0524 18:31:41.385524       1 flags.go:59] FLAG: --audit-webhook-initial-backoff="10s"
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385528       1 flags.go:59] FLAG: --audit-webhook-mode="batch"
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385532       1 flags.go:59] FLAG: --audit-webhook-truncate-enabled="false"
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385536       1 flags.go:59] FLAG: --audit-webhook-truncate-max-batch-size="10485760"
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385540       1 flags.go:59] FLAG: --audit-webhook-truncate-max-event-size="102400"
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385544       1 flags.go:59] FLAG: --audit-webhook-version="audit.k8s.io/v1"
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385548       1 flags.go:59] FLAG: --authentication-kubeconfig=""
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385552       1 flags.go:59] FLAG: --authentication-skip-lookup="false"
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385556       1 flags.go:59] FLAG: --authentication-token-webhook-cache-ttl="10s"
2022-05-24T18:31:41.385566411Z I0524 18:31:41.385559       1 flags.go:59] FLAG: --authentication-tolerate-lookup-failure="false"
2022-05-24T18:31:41.385580002Z I0524 18:31:41.385563       1 flags.go:59] FLAG: --authorization-always-allow-paths="[/healthz,/readyz,/livez]"
2022-05-24T18:31:41.385580002Z I0524 18:31:41.385569       1 flags.go:59] FLAG: --authorization-kubeconfig=""
2022-05-24T18:31:41.385580002Z I0524 18:31:41.385572       1 flags.go:59] FLAG: --authorization-webhook-cache-authorized-ttl="10s"
2022-05-24T18:31:41.385580002Z I0524 18:31:41.385576       1 flags.go:59] FLAG: --authorization-webhook-cache-unauthorized-ttl="10s"
2022-05-24T18:31:41.385591180Z I0524 18:31:41.385580       1 flags.go:59] FLAG: --bind-address="0.0.0.0"
2022-05-24T18:31:41.385591180Z I0524 18:31:41.385584       1 flags.go:59] FLAG: --cert-dir="apiserver.local.config/certificates"
2022-05-24T18:31:41.385600434Z I0524 18:31:41.385589       1 flags.go:59] FLAG: --client-ca-file=""
2022-05-24T18:31:41.385600434Z I0524 18:31:41.385593       1 flags.go:59] FLAG: --contention-profiling="false"
2022-05-24T18:31:41.385610495Z I0524 18:31:41.385596       1 flags.go:59] FLAG: --cors-allowed-origins="[//127\\.0\\.0\\.1(:|$),//localhost(:|$)]"
2022-05-24T18:31:41.385610495Z I0524 18:31:41.385603       1 flags.go:59] FLAG: --default-watch-cache-size="100"
2022-05-24T18:31:41.385610495Z I0524 18:31:41.385607       1 flags.go:59] FLAG: --delete-collection-workers="1"
2022-05-24T18:31:41.385621484Z I0524 18:31:41.385610       1 flags.go:59] FLAG: --deserialization-cache-size="0"
2022-05-24T18:31:41.385621484Z I0524 18:31:41.385614       1 flags.go:59] FLAG: --disable-admission-plugins="[]"
2022-05-24T18:31:41.385621484Z I0524 18:31:41.385618       1 flags.go:59] FLAG: --egress-selector-config-file=""
2022-05-24T18:31:41.385631431Z I0524 18:31:41.385622       1 flags.go:59] FLAG: --enable-admission-plugins="[]"
2022-05-24T18:31:41.385631431Z I0524 18:31:41.385627       1 flags.go:59] FLAG: --enable-garbage-collector="true"
2022-05-24T18:31:41.385642111Z I0524 18:31:41.385631       1 flags.go:59] FLAG: --enable-priority-and-fairness="true"
2022-05-24T18:31:41.385642111Z I0524 18:31:41.385635       1 flags.go:59] FLAG: --enable-swagger-ui="false"
2022-05-24T18:31:41.385642111Z I0524 18:31:41.385639       1 flags.go:59] FLAG: --encryption-provider-config=""
