2022-05-24T18:36:18.734656027Z I0524 18:36:18.734378       1 flags.go:59] FLAG: --accesstoken-inactivity-timeout="0s"
2022-05-24T18:36:18.734656027Z I0524 18:36:18.734634       1 flags.go:59] FLAG: --add-dir-header="false"
2022-05-24T18:36:18.734656027Z I0524 18:36:18.734641       1 flags.go:59] FLAG: --admission-control-config-file=""
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734647       1 flags.go:59] FLAG: --advertise-address="<nil>"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734653       1 flags.go:59] FLAG: --alsologtostderr="false"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734657       1 flags.go:59] FLAG: --api-audiences="[https://rh-oidc.s3.us-east-1.amazonaws.com/1sdcrj3pmooemv6apkbt2v41v18s45kb]"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734676       1 flags.go:59] FLAG: --audit-log-batch-buffer-size="10000"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734681       1 flags.go:59] FLAG: --audit-log-batch-max-size="1"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734686       1 flags.go:59] FLAG: --audit-log-batch-max-wait="0s"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734690       1 flags.go:59] FLAG: --audit-log-batch-throttle-burst="0"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734694       1 flags.go:59] FLAG: --audit-log-batch-throttle-enable="false"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734700       1 flags.go:59] FLAG: --audit-log-batch-throttle-qps="0"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734706       1 flags.go:59] FLAG: --audit-log-compress="false"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734710       1 flags.go:59] FLAG: --audit-log-format="json"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734714       1 flags.go:59] FLAG: --audit-log-maxage="0"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734718       1 flags.go:59] FLAG: --audit-log-maxbackup="10"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734722       1 flags.go:59] FLAG: --audit-log-maxsize="100"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734726       1 flags.go:59] FLAG: --audit-log-mode="blocking"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734731       1 flags.go:59] FLAG: --audit-log-path="/var/log/oauth-apiserver/audit.log"
2022-05-24T18:36:18.734742251Z I0524 18:36:18.734735       1 flags.go:59] FLAG: --audit-log-truncate-enabled="false"
2022-05-24T18:36:18.734757522Z I0524 18:36:18.734739       1 flags.go:59] FLAG: --audit-log-truncate-max-batch-size="10485760"
2022-05-24T18:36:18.734757522Z I0524 18:36:18.734745       1 flags.go:59] FLAG: --audit-log-truncate-max-event-size="102400"
2022-05-24T18:36:18.734757522Z I0524 18:36:18.734749       1 flags.go:59] FLAG: --audit-log-version="audit.k8s.io/v1"
2022-05-24T18:36:18.734767287Z I0524 18:36:18.734753       1 flags.go:59] FLAG: --audit-policy-file="/var/run/configmaps/audit/policy.yaml"
2022-05-24T18:36:18.734767287Z I0524 18:36:18.734759       1 flags.go:59] FLAG: --audit-webhook-batch-buffer-size="10000"
2022-05-24T18:36:18.734767287Z I0524 18:36:18.734763       1 flags.go:59] FLAG: --audit-webhook-batch-initial-backoff="10s"
2022-05-24T18:36:18.734776057Z I0524 18:36:18.734768       1 flags.go:59] FLAG: --audit-webhook-batch-max-size="400"
2022-05-24T18:36:18.734776057Z I0524 18:36:18.734773       1 flags.go:59] FLAG: --audit-webhook-batch-max-wait="30s"
2022-05-24T18:36:18.734785112Z I0524 18:36:18.734777       1 flags.go:59] FLAG: --audit-webhook-batch-throttle-burst="15"
2022-05-24T18:36:18.734785112Z I0524 18:36:18.734781       1 flags.go:59] FLAG: --audit-webhook-batch-throttle-enable="true"
2022-05-24T18:36:18.734793679Z I0524 18:36:18.734785       1 flags.go:59] FLAG: --audit-webhook-batch-throttle-qps="10"
2022-05-24T18:36:18.734793679Z I0524 18:36:18.734790       1 flags.go:59] FLAG: --audit-webhook-config-file=""
2022-05-24T18:36:18.734806823Z I0524 18:36:18.734794       1 flags.go:59] FLAG: --audit-webhook-initial-backoff="10s"
2022-05-24T18:36:18.734806823Z I0524 18:36:18.734799       1 flags.go:59] FLAG: --audit-webhook-mode="batch"
2022-05-24T18:36:18.734806823Z I0524 18:36:18.734803       1 flags.go:59] FLAG: --audit-webhook-truncate-enabled="false"
2022-05-24T18:36:18.734816765Z I0524 18:36:18.734807       1 flags.go:59] FLAG: --audit-webhook-truncate-max-batch-size="10485760"
2022-05-24T18:36:18.734816765Z I0524 18:36:18.734812       1 flags.go:59] FLAG: --audit-webhook-truncate-max-event-size="102400"
2022-05-24T18:36:18.734825627Z I0524 18:36:18.734816       1 flags.go:59] FLAG: --audit-webhook-version="audit.k8s.io/v1"
2022-05-24T18:36:18.734825627Z I0524 18:36:18.734820       1 flags.go:59] FLAG: --authentication-kubeconfig=""
2022-05-24T18:36:18.734834060Z I0524 18:36:18.734824       1 flags.go:59] FLAG: --authentication-skip-lookup="false"
2022-05-24T18:36:18.734834060Z I0524 18:36:18.734828       1 flags.go:59] FLAG: --authentication-token-webhook-cache-ttl="10s"
2022-05-24T18:36:18.734842917Z I0524 18:36:18.734832       1 flags.go:59] FLAG: --authentication-tolerate-lookup-failure="false"
